	M	R	Soil type PGA   SD	DT(s)		Name			NPTS		Tm(s)	Arias Int
29	6.19	32.56	 D	0.442	6.45	0.0100	         PARKF_C05085.AT1	 4395	0.1404	0.4449	0.8579
30	6.19	34.01	 D	0.273	10.58	0.0100	         PARKF_C08320.AT2	 2615	0.0473	0.3844	0.3810
32	6.19	40.26	 C	0.357	4.35	0.0100	         PARKF_TMB205.AT1	 3035	0.0477	0.4106	0.4511
55	6.61	25.36	 C	0.268	15.35	0.0100	         SFERN_ORR291.AT2	 3000	0.0538	0.4904	0.9459
65	6.61	39.49	 D	0.174	11.17	0.0100	         SFERN_PEL180.AT2	 2800	0.1505	0.3563	0.4469
68	6.61	20.04	 C	0.366	10.73	0.0100	         SFERN_L12021.AT1	 3660	0.0225	0.2252	0.9251
84	6.61	31.55	 C	0.148	23.50	0.0050	         SFERN_FSD172.AT1	 8000	0.0695	0.4753	0.1974
91	6.24	5.68	 D	0.421	10.10	0.0100	     MANAGUA_A-MAN090.AT1	 2600	0.2103	0.4420	1.6557
117	6.50	20.23	 C	0.351	4.24	0.0050	      FRIULI_A-TMZ000.AT1	 7270	0.0582	0.4018	0.7803
131	7.35	20.63	 C	0.406	12.36	0.0200	         TABAS_DAY-TR.AT2	 1195	0.1682	0.4641	1.3587
139	5.74	10.94	 D	0.211	7.54	0.0050	      COYOTELK_G02050.AT1	 5375	0.0491	0.3697	0.2870
154	6.53	17.65	 D	0.275	11.04	0.0050	     IMPVALL_H-CXO225.AT1	 7565	0.0619	0.4448	0.8510
159	6.53	22.43	 D	0.186	21.70	0.0100	     IMPVALL_H-CMP015.AT1	 3600	0.0348	0.3970	0.3918
165	6.53	29.44	 D	0.364	8.71	0.0050	     IMPVALL_H-E11140.AT1	 7810	0.2378	0.4517	1.9581
179	6.53	12.43	 D	0.287	9.96	0.0100	     IMPVALL_H-SHP000.AT1	 1575	0.1280	0.3153	1.0339
221	6.06	12.65	 D	0.271	10.85	0.0050	     MAMMOTH_I-LUL090.AT2	 5995	0.0309	0.4199	0.7224
226	5.91	5.90	 D	0.219	6.31	0.0050	     MAMMOTH_A-CVK090.AT1	 8000	0.1366	0.4690	0.4491
229	5.91	11.51	 D	0.484	7.75	0.0050	     MAMMOTH_A-LUL000.AT1	 8000	0.0326	0.3589	0.7451
233	5.70	14.19	 D	0.245	5.63	0.0050	     MAMMOTH_B-LUL000.AT1	 8000	0.0171	0.3752	0.4425
238	5.94	12.03	 D	0.266	6.82	0.0050	     MAMMOTH_L-CVK090.AT1	 5195	0.0248	0.3872	0.3937
239	5.94	12.02	 D	0.400	4.97	0.0050	     MAMMOTH_L-FIS090.AT2	 2300	0.0205	0.3443	0.5122
267	7.20	76.75	 D	0.134	12.24	0.0050	    TRINIDAD_B-RDE270.AT2	 4400	0.0394	0.3769	0.3828
268	7.20	76.75	 D	0.156	10.83	0.0050	    TRINIDAD_B-RDW270.AT2	 4400	0.0398	0.3415	0.4461
303	5.90	8.62	 D	0.199	8.35	0.0050	      WESTMORL_WLF225.AT1	 5750	0.0734	0.4032	0.5225
351	6.36	9.98	 D	0.285	11.26	0.0050	    COALINGA_H-PVB135.AT2	 7995	0.0530	0.4573	1.0034
387	5.77	12.38	 D	0.269	9.61	0.0050	    COALINGA_D-BNT270.AT1	 4320	0.0319	0.4300	0.6966
388	5.77	11.21	 D	0.324	8.96	0.0050	    COALINGA_D-CHP000.AT1	 8000	0.0206	0.3145	0.5554
389	5.77	4.60	 C	0.447	6.00	0.0050	    COALINGA_D-OLC360.AT2	 4250	0.0208	0.2398	1.4797
390	5.77	8.55	 C	0.219	7.93	0.0050	    COALINGA_D-OLF270.AT1	 3445	0.0657	0.4802	0.3114
391	5.77	8.55	 C	0.217	8.08	0.0050	    COALINGA_D-OLP270.AT1	 3900	0.0695	0.4483	0.3504
395	5.77	9.99	 C	0.233	6.49	0.0050	    COALINGA_D-SKH360.AT2	 4270	0.0788	0.3642	0.3307
430	6.19	38.20	 D	0.194	15.98	0.0050	        MORGAN_G03000.AT1	 8000	0.0728	0.4334	0.3359
